station_id,recordingtime,station_code,station_name,station_province,station_city,station_area,station_lat,station_lon,win_d_avg,win_s_avg,vsb,temp,dewp,slp,stp,tem_max,tem_min,pcp01,pcp06,pcp24,stp_max,stp_min,win_s_max,win_d_max,win_s_ins,win_d_ins,rhu,vap,rhu_min
582080.0,201901010000,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,,,,-3.333333333333333,-4.444444444444445,1041.5,1035.7,,,,,,,,,,,,91.99530881529726,,
582080.0,201901010300,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,1.78816,9.010399999999999,2.7777777777777777,-8.333333333333334,1041.0,1035.4,,,,,,,,,,,,43.7398656490093,,
582080.0,201901010600,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,070,0.89408,8.045,3.888888888888889,-9.444444444444445,1037.6,1032.0,,-3.888888888888889,,,,,,,,,,37.06353212458085,,
582080.0,201901010900,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,040,3.12928,9.010399999999999,2.7777777777777777,-10.555555555555555,1038.0,1032.4,,,,,,,,,,,,36.714435005178885,,
582080.0,201901011200,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,040,0.89408,9.010399999999999,0.0,-8.333333333333334,1038.9,1033.2,,,,,,,,,,,,53.39622276789571,,
582080.0,201901011800,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,0.89408,9.010399999999999,1.1111111111111112,-7.222222222222222,1039.3,1033.6,4.444444444444445,,,,,,,,,,,53.71379969660749,,
582080.0,201901012100,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,070,1.78816,9.010399999999999,0.5555555555555556,-7.222222222222222,1037.3,1031.6,,,,,,,,,,,,55.910417185483475,,
582080.0,201901020000,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,1.78816,8.045,0.5555555555555556,-6.111111111111111,1038.1,1032.4,,,,,,,,,,,,60.898080619991426,,
582080.0,201901020300,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,3.12928,8.045,2.7777777777777777,-6.111111111111111,1037.6,1032.0,,,,,,,,,,,,51.93483280924713,,
582080.0,201901020600,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,3.12928,8.045,3.333333333333333,-5.555555555555555,1034.7,1029.1,,0.0,,,,,,,,,,52.09474946175645,,
582080.0,201901020900,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,1.78816,8.045,3.333333333333333,-4.444444444444445,1034.6,1029.0,,,,,,,,,,,,56.67285977558236,,
582080.0,201901021200,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,0.89408,7.0796,2.7777777777777777,-3.888888888888889,1035.2,1029.6,,,,,,,,,,,,61.46421478718378,,
582080.0,201901021800,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,140,1.78816,6.114199999999999,2.2222222222222223,-2.2222222222222223,1034.8,1029.2,3.888888888888889,,,,,,,,,,,72.40273235098877,,
582080.0,201901022100,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,140,0.89408,,1.6666666666666665,-1.6666666666666665,1033.7,1028.1,,,,,,,,,,,,78.49106814557555,,
582080.0,201901030000,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,110,1.78816,,1.6666666666666665,-1.6666666666666665,1034.7,1029.1,,,,,,,,,,,,78.49106814557555,,
582080.0,201901030300,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,140,0.89408,6.114199999999999,4.444444444444445,-1.6666666666666665,1034.6,1029.0,,,,,,,,,,,,64.47368559065076,,
582080.0,201901030600,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,070,1.78816,7.0796,6.111111111111111,-2.7777777777777777,1031.1,1025.6,,1.6666666666666665,,,,,,,,,,52.88482960489396,,
582080.0,201901030900,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,0.89408,7.0796,5.555555555555555,-2.2222222222222223,1031.3,1025.8,,,,,,,,,,,,57.27093675270538,,
582080.0,201901031200,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,090,1.78816,6.114199999999999,4.444444444444445,-0.5555555555555556,1031.2,1025.6,,,,,,,,,,,,69.9473000026203,,
582080.0,201901031800,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,020,1.78816,4.3443000000000005,4.444444444444445,1.1111111111111112,1030.6,1025.1,6.666666666666666,,,,,,,,,,,78.92892736389952,,
582080.0,201901032100,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,360,1.78816,2.8962,3.333333333333333,1.1111111111111112,1030.2,1024.6,,,,,,,,,,,,85.34439185931258,,
582080.0,201901040000,411500.0,固始,河南,信阳市,潢川县,32.1,115.37,320,0.89408,3.0570999999999997,3.333333333333333,1.6666666666666665,1031.5,1025.9,,,,,,,,,,,,88.81801136155532,,
