station_id,recordingtime,station_code,station_name,station_province,station_city,station_area,station_lat,station_lon,win_d_avg,win_s_avg,vsb,temp,dewp,slp,stp,tem_max,tem_min,pcp01,pcp06,pcp24,stp_max,stp_min,win_s_max,win_d_max,win_s_ins,win_d_ins,rhu,vap,rhu_min
536140.0,201901010000,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,020,1.78816,11.1021,-13.888888888888891,-21.66666666666667,1044.6,904.6,,,,,,,,,,,,51.668219545180406,,
536140.0,201901010300,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,340,1.78816,7.0796,-11.666666666666664,-20.555555555555557,1043.9,,,,,,,,,,,,,47.548647184285905,,
536140.0,201901010600,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,040,1.78816,9.010399999999999,-6.666666666666666,-21.11111111111111,1039.5,901.1,,-14.444444444444445,,,,,,,,,,30.576469249442248,,
536140.0,201901010900,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,360,1.78816,9.010399999999999,-5.5555555555555545,-21.11111111111111,1039.1,,,,,,,,,,,,,28.083698366841393,,
536140.0,201901011200,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,020,0.89408,9.010399999999999,-8.333333333333334,-19.444444444444443,1040.0,901.0,,,,,,,,,,,,40.20800312735822,,
536140.0,201901011500,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,360,1.78816,7.0796,-10.555555555555557,-18.33333333333333,1038.8,,,,,,,,,,,,,52.68968742387635,,
536140.0,201901011800,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,020,0.89408,7.0796,-11.111111111111109,-20.0,1036.6,898.9,,,,,,,,,,,,47.72562958215648,,
536140.0,201901012100,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,020,0.89408,8.045,-12.222222222222221,-19.444444444444443,1034.8,,,,,,,,,,,,,54.74786274651826,,
536140.0,201901020000,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,360,1.78816,3.5398,-13.333333333333332,-18.33333333333333,1035.1,896.8,,,,,,,,,,,,65.90138889350632,,
536140.0,201901020300,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,070,1.78816,,-8.333333333333334,-18.33333333333333,1033.5,,,,,,,,,,,,,44.22675002914453,,
536140.0,201901020600,640100.0,银川,宁夏,银川市,永宁县,38.28,106.12,320,1.78816,7.0796,-2.7777777777777777,-19.444444444444443,1029.0,893.3,,-13.333333333333332,,,,,,,,,,26.33327499956671,,
